Testing!!!
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.000,| 0.131,| 0.755,| 0.458,| 0.532,| 0.218,| 0.047,| 0.678,| 0.679,| 0.934,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.383,| 0.519,| 0.830,| 0.034,| 0.053,| 0.529,| 0.671,| 0.007,| 0.383,| 0.066,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.417,| 0.686,| 0.588,| 0.930,| 0.846,| 0.526,| 0.091,| 0.653,| 0.415,| 0.701,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.910,| 0.762,| 0.262,| 0.047,| 0.736,| 0.328,| 0.632,| 0.756,| 0.991,| 0.365,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.247,| 0.982,| 0.722,| 0.753,| 0.651,| 0.072,| 0.631,| 0.884,| 0.272,| 0.436,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.766,| 0.477,| 0.237,| 0.274,| 0.359,| 0.166,| 0.486,| 0.897,| 0.909,| 0.060,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.904,| 0.504,| 0.516,| 0.319,| 0.986,| 0.493,| 0.266,| 0.090,| 0.947,| 0.073,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.500,| 0.384,| 0.277,| 0.913,| 0.529,| 0.464,| 0.940,| 0.050,| 0.761,| 0.770,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.827,| 0.125,| 0.015,| 0.688,| 0.868,| 0.629,| 0.736,| 0.725,| 0.999,| 0.888,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
| 0.233,| 0.306,| 0.351,| 0.513,| 0.591,| 0.845,| 0.412,| 0.841,| 0.269,| 0.415,| 
|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
